sample_id,query,expected_intent,predicted_intent,correct,confidence,confidence_reason,semantic_confidence,retrieval_similarity,entity_match,model_disagreement
FT036,Where is an information desk?,find_information,find_information,True,confident,intent models agree with sufficient retrieval similarity,0.196,0.657,False,False
FT037,I need to ask airport staff a general question.,find_information,find_information,True,uncertain,insufficient supporting evidence,0.115,0.223,False,False
FT038,Where can I get passenger information?,find_information,find_information,True,uncertain,intent models disagree,0.219,0.412,False,True
FT039,Is there a help desk in the terminal?,find_information,find_information,True,caution,semantic intent and retrieval provide moderate evidence,0.251,0.526,False,False
FT040,Where should I go for general airport assistance?,find_information,accessibility_help,False,uncertain,insufficient supporting evidence,0.161,0.328,False,False
FT041,I left my phone somewhere in the airport.,lost_property,lost_property,True,uncertain,insufficient supporting evidence,0.242,0.372,False,False
FT042,Where should I report a missing backpack?,lost_property,lost_property,True,uncertain,insufficient supporting evidence,0.313,0.22,False,False
FT043,I cannot find my wallet.,lost_property,lost_property,True,uncertain,insufficient supporting evidence,0.204,0.244,False,False
FT044,Who can help with property I lost in the terminal?,lost_property,lost_property,True,confident,intent models agree with sufficient retrieval similarity,0.358,0.543,False,False
FT045,Where is Lost and Found?,lost_property,lost_property,True,confident,intent models agree with sufficient retrieval similarity,0.356,0.462,False,False
FT046,I use a wheelchair and need assistance.,accessibility_help,accessibility_help,True,confident,intent models agree with sufficient retrieval similarity,0.451,0.532,False,False
FT047,Where can I get step-free help?,accessibility_help,accessibility_help,True,uncertain,insufficient supporting evidence,0.268,0.198,False,False
FT048,I cannot use escalators. Who can assist me?,accessibility_help,accessibility_help,True,uncertain,insufficient supporting evidence,0.319,0.279,False,False
FT049,I need mobility assistance through the terminal.,accessibility_help,accessibility_help,True,confident,intent models agree with sufficient retrieval similarity,0.395,0.545,False,False
FT050,Where is the special assistance service?,accessibility_help,accessibility_help,True,uncertain,insufficient supporting evidence,0.165,0.486,False,False
FT051,Where can I change my baby's diaper?,family_assistance,family_assistance,True,caution,intent models agree but retrieval similarity is limited,0.322,0.249,False,False
FT052,Is there a family care area?,family_assistance,family_assistance,True,confident,intent models agree with sufficient retrieval similarity,0.45,0.475,False,False
FT053,I am travelling with a small child and need family facilities.,family_assistance,family_assistance,True,confident,intent models agree with sufficient retrieval similarity,0.472,0.37,False,False
FT054,Where is the baby changing room?,family_assistance,family_assistance,True,confident,intent models agree with sufficient retrieval similarity,0.424,0.453,False,False
FT055,Are there facilities for parents with children?,family_assistance,family_assistance,True,confident,intent models agree with sufficient retrieval similarity,0.545,0.343,False,False
FT056,My passport is missing. Where should I go?,travel_document_help,travel_document_help,True,confident,intent models agree with sufficient retrieval similarity,0.561,0.538,False,False
FT057,Who can help me with a passport problem?,travel_document_help,travel_document_help,True,confident,intent models agree with sufficient retrieval similarity,0.6,0.527,False,False
FT058,I have an issue with my travel documents.,travel_document_help,travel_document_help,True,caution,semantic intent and retrieval provide moderate evidence,0.495,0.468,False,False
FT059,Where is the passport assistance desk?,travel_document_help,travel_document_help,True,confident,intent models agree with sufficient retrieval similarity,0.278,0.681,False,False
FT060,I lost an important travel document before departure.,travel_document_help,lost_property,False,uncertain,intent models disagree,0.472,0.332,False,True
FT061,How do I get to my connecting flight?,transfer_help,transfer_help,True,confident,intent models agree with sufficient retrieval similarity,0.399,0.415,False,False
FT062,Where should transfer passengers go?,transfer_help,transfer_help,True,uncertain,intent models disagree,0.195,0.382,False,True
FT063,I have another flight after this one. Which way do I go?,transfer_help,transfer_help,True,uncertain,insufficient supporting evidence,0.24,0.255,False,False
FT064,How do I reach flight connections?,transfer_help,transfer_help,True,confident,intent models agree with sufficient retrieval similarity,0.426,0.432,False,False
FT065,I need help changing to my next flight.,transfer_help,transfer_help,True,uncertain,insufficient supporting evidence,0.247,0.317,False,False
FT066,What time does the SkyNova Lounge open?,opening_hours,opening_hours,True,uncertain,intent models disagree,0.414,0.546,False,True
FT067,When does the food court close?,opening_hours,opening_hours,True,uncertain,intent models disagree,0.313,0.466,False,True
FT068,What are the Information Desk opening times?,opening_hours,opening_hours,True,uncertain,intent models disagree,0.467,0.423,False,True
FT069,Until what time is Lost and Found open?,opening_hours,opening_hours,True,uncertain,intent models disagree,0.468,0.271,False,True
FT070,What hours is the Family Care Zone available?,opening_hours,opening_hours,True,caution,semantic intent and retrieval provide moderate evidence,0.359,0.461,False,False
